I'm	0.208979591837
broke	0.62693877551
but	1.13777777778
I'm	1.74149659864
happy	1.99691609977
I'm	3.29723356009
poor	3.69197278912
but	4.13315192744
I'm	4.41179138322
kind.	4.66721088435
I'm	5.89786848073
short	6.19972789116
but	6.73378684807
I'm	6.94276643991
healthy	7.31428571429
yeah.	9.63628117914
I'm	11.2616780045
high	11.5170975057
but	11.9118367347
I'm	12.2136961451
grounded	12.4691156463
I'm	13.606893424
sane	13.9784126984
but	14.53569161
I'm	14.7678911565
overwhelmed.	15.0000907029
I'm	16.5326077098
lost	16.7648072562
but	17.2059863946
I'm	17.4149659864
hopeful	17.6471655329
baby.	18.8546031746
What	19.8762811791
it	20.2478004535
all	20.4567800454
comes	20.8979591837
down	21.733877551
to.	22.2214965986
Is	23.8236734694
that	24.0326530612
everything's	24.4273922902
gonna	25.7044897959
be	26.1224489796
fine	26.3082086168
fine	27.5156462585
fine.	30.3020408163
'Cause	31.2772789116
I've	31.7184580499
got	31.9970975057
one	32.2525170068
hand	32.6240362812
in	33.1116553288
my	33.2741950113
pocket.	33.5760544218
And	34.620952381
the	34.8299319728
other	34.9692517007
one	35.2943310658
is	35.6194104308
giving	35.8283900227
a	36.4321088435
high	36.6410884354
five.	37.0126077098
