넌	0.16253968254
뒤를	0.394739229025
따라오지만.	0.766258503401
난	2.04335600907
앞만	2.27555555556
보고	2.85605442177
질주해.	3.1579138322
네가	4.10993197279
앉은	4.38857142857
테이블	4.59755102041
위를	5.01551020408
뛰어다녀.	5.29414965986
I	6.19972789116
don’t	6.3158276644
care.	6.54802721088
건드리면	7.1285260771
감당	7.87156462585
못해.	8.24308390023
I’m	9.10222222222
hot	9.56662131519
hot	9.79882086168
hot	10.1935600907
hot	10.4025396825
fire.	10.6811791383
뒤집어지기	11.4474376417
전에.	12.1672562358
제발	12.7941950113
누가	13.212154195
날	13.4907936508
좀	13.7694331066
말려.	13.9784126984
옷장을	14.6982312925
열어	15.4412698413
가장.	15.7431292517
상큼한	16.4861678005
옷을	17.0898866213
걸치고.	17.4614058957
거울에	18.5991836735
비친	19.0868027211
내	19.6440816327
얼굴을.	19.7834013605
꼼꼼히	21.3159183673
살피고.	22.3375963719
지금은	24.0094331066
여덟	24.7524716553
시.	25.170430839
약속시간은	25.4955102041
여덟	26.7958276644
시	27.1441269841
반.	27.5620861678
도도한	28.1193650794
걸음으로	28.6302040816
나선	29.1178231293
이	29.4893424036
밤.	29.6518820862
