I	0.557278911565
go	0.719818594104
on	0.975238095238
too	1.16099773243
many	1.39319727891
dates.	1.71827664399
But	3.59909297052
I	3.71519274376
can't	3.8777324263
make	4.17959183673
them	4.50467120181
stay.	4.71365079365
At	5.64244897959
least	5.75854875283
that's	6.03718820862
what	6.33904761905
people	6.54802721088
say	7.66258503401
hmm.	8.01088435374
That's	9.4273015873
what	9.89170068027
people	10.2167800454
say	10.704399093
hmm.	11.029478458
But	12.422675737
I	12.5619954649
keep	13.212154195
cruising.	13.6533333333
Can't	14.6517913832
stop	15.5109297052
won't	15.9288888889
stop	16.18430839
moving.	16.6719274376
It's	17.6936054422
like	18.2044444444
I	18.4598639456
got	18.7849433107
this	19.3190022676
music.	19.5512018141
In	21.6409977324
my	21.7803174603
mind	22.0125170068
saying	23.0109750567
it's	23.4753741497
gonna	23.6843537415
be	24.0094331066
alright.	24.1487528345
Cause	25.1936507937
the	25.4722902494
players	25.6116099773
gonna	26.1456689342
play	26.42430839
play	26.819047619
play	27.1209070295
play	27.5156462585
play.	27.8175056689
And	28.537324263
the	28.5605442177
haters	28.6534240363
gonna	29.1178231293
hate	29.4429024943
hate	29.6983219955
hate	29.930521542
hate	30.1627210884
hate.	30.3484807256
Baby	31.0218594104
I'm	31.4630385488
just	31.8113378685
gonna	32.0899773243
shake	32.36861678
shake	32.7865759637
shake	33.1116553288
shake	33.5528344671
shake.	33.8546938776
Shake	34.620952381
it	34.9924716553
off	35.0853514739
Shake	35.5033106576
it	35.8516099773
off.	35.9909297052
Heartbreakers	36.6410884354
gonna	37.4305668934
break	37.7324263039
break	38.0110657596
break	38.382585034
break	38.8005442177
break.	39.1488435374
And	40.0079818594
the	40.1473015873
fakers	40.2866213152
gonna	40.8206802721
fake	41.0993197279
fake	41.424399093
fake	41.819138322
fake	42.1674376417
fake.	42.5157369615
Baby	43.2587755102
I'm	43.5606349206
just	43.8160544218
gonna	44.1179138322
shake	44.3733333333
shake	44.791292517
shake	45.1163718821
shake	45.4646712018
shake.	45.8594104308
Shake	46.6256689342
it	46.973968254
off	47.0900680272
Shake	47.4848072562
it	47.8563265306
off.	48.0653061224
