You're	2.64707482993
a	2.92571428571
teaser	3.04181405896
you	4.38857142857
turn'em	4.71365079365
on.	5.47990929705
Leave	7.73224489796
them	8.80036281179
burning	9.07900226757
and	9.68272108844
then	9.91492063492
you're	10.3328798186
gone.	10.5418594104
Looking	12.5387755102
out	13.3282539683
for	13.9087528345
another	14.2570521542
anyone	15.6734693878
will	16.9273469388
do.	17.1595464853
You're	18.2276643991
in	18.9010430839
the	19.1796825397
mood	19.2493424036
for	19.6440816327
a	19.9459410431
dance.	20.0620408163
And	21.6642176871
when	22.0357369615
you	22.4769160998
get	22.7091156463
the	23.2431746032
chance.	23.4753741497
You	26.3082086168
are	26.6565079365
the	27.0744671202
Dancing	27.283446712
Queen	28.4908843537
young	29.9537414966
and	30.4878004535
sweet	30.7432199546
only	31.7184580499
seventeen.	32.2525170068
Dancing	36.6875283447
Queen	38.0110657596
feel	39.3810430839
the	40.0776417234
beat	40.2634013605
from	41.0064399093
the	41.354739229
tambourine.	41.7959183673
You	43.8392743764
can	44.0714739229
dance	44.9306122449
you	47.1132879819
can	47.4151473923
jive	47.9027664399
having	49.7835827664
the	52.0823582766
time	52.6164172336
of	53.5452154195
your	53.8470748299
life.	54.0792743764
See	56.0065306122
that	56.7727891156
girl	57.4461678005
watch	58.5607256236
that	59.1180045351
scene	60.1629024943
digging	61.5560997732
the	62.9028571429
Dancing	63.2511564626
Queen.	65.1551927438
