Shakedown	1.13777777778
1979	2.20589569161
cool	7.75546485261
kids	9.19510204082
never	9.86848072562
have	10.7740589569
the	12.5387755102
time.	12.8870748299
On	15.4412698413
a	15.789569161
live	15.8824489796
wire	16.8112471655
right	17.3917460317
up	18.0186848073
off	18.5063038549
the	19.0403628118
street.	19.3190022676
You	21.0140589569
and	21.3159183673
I	21.5945578231
should	22.9413151927
meet.	23.2663945578
Junebug	26.7726077098
skipping	28.7927437642
like	29.6518820862
a	30.2323809524
stone.	30.6503401361
With	34.3655328798
the	34.6906122449
headlights	34.8763718821
pointed	36.7107482993
at	37.5002267574
the	41.5637188209
dawn.	41.7030385488
We	42.8640362812
were	43.0265759637
sure	43.2123356009
we'd	43.6999546485
never	44.1179138322
see	44.8145124717
an	45.3021315193
end	45.5111111111
to	47.4151473923
it	47.6009070295
all.	47.7866666667
