Say	0.185759637188
your	0.696598639456
prayers	0.95201814059
	1.90403628118
little	2.27555555556
one	2.71673469388
.	3.43655328798
Don't	3.99383219955
forget	4.64399092971
	5.61922902494
my	5.89786848073
son	6.19972789116
.	6.82666666667
To	8.15020408163
include	8.38240362812
everyone	8.89324263039
.	9.58984126984
Tuck	10.7508390023
you	11.099138322
in	11.2384580499
	11.6099773243
warm	11.88861678
within	12.353015873
.	13.1889342404
Keep	13.7462131519
you	14.4892517007
free	14.6517913832
from	15.1858503401
sin	15.4877097506
.	15.9288888889
Till	16.579047619
the	17.2059863946
Sandman	17.3453061224
he	18.0651247166
comes	18.2508843537
.	19.1796825397
Sleep	20.6889795918
with	21.1998185941
one	21.7106575964
eye	22.0357369615
open	22.2911564626
.	22.9180952381
Gripping	23.521814059
your	24.0790929705
pillow	24.4273922902
tight	24.9150113379
.	25.6116099773
Exit	26.8654875283
:	27.8639455782
light	28.0729251701
.	28.606984127
Enter	29.1874829932
:	29.7912018141
night	30.0001814059
.	30.6271201814
Take	31.2076190476
my	31.8113378685
hand	32.2060770975
.	33.5063945578
We're	34.0636734694
off	34.2958730159
to	34.8067120181
never	34.9692517007
never	35.4800907029
land	35.9212698413
.	37.1983673469
