Work	0.139319727891
It	0.650158730159
Harder	0.835918367347
Make	1.32353741497
It	1.55573696145
Better.	1.78793650794
Do	2.4380952381
It	2.60063492063
Faster	2.69351473923
Makes	3.1579138322
Us	3.57587301587
stronger.	3.80807256236
More	5.08517006803
Than	5.59600907029
Ever	5.71210884354
Hour	9.03256235828
After.	9.4273015873
Our	10.2632199546
Work	10.4489795918
Is	10.7508390023
Never	10.9133786848
Over.	11.5403174603
Work	13.281814059
It	13.5604535147
Harder	13.6997732426
Make	14.2106122449
It	16.3004081633
Better.	16.3932879819
Do	16.9970068027
It	17.2059863946
Faster	17.3453061224
Makes	17.9490249433
Us	18.4366439909
stronger.	18.6224036281
More	19.4815419501
Than	19.8066213152
Ever	19.9459410431
Hour	20.7586394558
After.	21.0837188209
Our	21.9892970522
Work	22.1518367347
Is	22.4536961451
Never	22.662675737
Over.	23.0806349206
Work	23.6843537415
It	23.9629931973
Harder	24.1255328798
Make	24.6828117914
It	24.9150113379
Better.	25.1239909297
Do	25.7044897959
It	25.8670294785
Faster	25.9831292517
Makes	26.4707482993
Us	26.8654875283
stronger.	27.0744671202
More	27.9103854875
Than	28.142585034
Ever	28.2819047619
Hour	28.5837641723
After.	28.8624036281
Our	29.8144217687
Work	29.9537414966
Is	30.255600907
Never	30.4181405896
Over.	30.8360997732
Work	31.4862585034
It	31.7881179138
Harder	31.9042176871
Make	32.438276644
It	32.6704761905
Better.	32.8794557823
Do	33.5063945578
It	33.692154195
Faster	33.8082539683
Makes	34.2262131519
Us	34.6673922902
stronger.	34.8763718821
More	35.6890702948
Than	35.9444897959
Ever	36.0838095238
Hour	36.3624489796
After.	36.6410884354
Our	37.4073469388
Work	37.7092063492
Is	38.0342857143
Never	38.1968253968
Over.	38.7541043084
Work	39.3346031746
It	39.6132426304
Harder	39.7293424036
Make	40.1473015873
It	40.3562811791
Better.	40.565260771
Do	41.3315192744
It	41.4940589569
Faster	41.6101587302
Makes	42.0513378685
Us	42.4228571429
stronger.	42.60861678
More	43.3284353741
Than	43.5838548753
Ever	43.7231746032
Hour	44.1411337868
After.	44.4662131519
Our	45.1628117914
Work	45.4646712018
Is	45.7897505669
Never	45.9755102041
Over.	46.3934693878
